# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0        BSN    N_tr    B2      B4
# 
1 1 1 1.49714310e+02 1.49714310e+02 1.49714310e+02 9.00703906e+04 0.00000000e+00 1.20000000e+02 -8.82395312e+04 -1.80235906e+05
2 1 1 2.85095215e+02 1.49714310e+02 1.49714310e+02 2.46840281e+05 0.00000000e+00 1.74000000e+02 -2.10331484e+05 -6.43346438e+05
2 2 1 2.85095215e+02 2.85095215e+02 1.49714310e+02 4.07825344e+05 0.00000000e+00 4.56000000e+02 -1.09326525e+06 1.57540288e+06
2 2 2 2.85095215e+02 2.85095215e+02 2.85095215e+02 -4.09453031e+05 0.00000000e+00 9.12000000e+02 5.93811812e+05 2.39641031e+05
3 1 1 4.02876801e+02 1.49714310e+02 1.49714310e+02 1.43415425e+06 0.00000000e+00 1.20000000e+01 -2.04398250e+06 -1.26011388e+06
3 2 1 4.02876801e+02 2.85095215e+02 1.49714310e+02 -7.02508125e+04 0.00000000e+00 4.14000000e+02 1.19201320e+05 3.51828867e+04
3 2 2 4.02876801e+02 2.85095215e+02 2.85095215e+02 -7.93120193e+01 0.00000000e+00 9.44000000e+02 -2.16618066e+03 -1.18263586e+05
3 3 1 4.02876801e+02 4.02876801e+02 1.49714310e+02 1.04390300e+06 0.00000000e+00 5.28000000e+02 -2.00399562e+06 1.24574700e+06
3 3 2 4.02876801e+02 4.02876801e+02 2.85095215e+02 -9.07306438e+05 0.00000000e+00 1.15200000e+03 1.64949275e+06 -6.69958250e+05
3 3 3 4.02876801e+02 4.02876801e+02 4.02876801e+02 2.49791225e+06 0.00000000e+00 1.20000000e+03 -4.78523050e+06 2.89175475e+06
4 2 1 2.98621796e+02 2.85095215e+02 1.49714310e+02 -8.56857688e+05 0.00000000e+00 7.20000000e+01 2.43235725e+06 -3.89175250e+06
4 2 2 2.98621796e+02 2.85095215e+02 2.85095215e+02 2.81784500e+05 0.00000000e+00 1.30200000e+03 -2.51141469e+05 -7.84307875e+05
4 3 1 2.98621796e+02 4.02876801e+02 1.49714310e+02 7.10192062e+05 0.00000000e+00 7.38000000e+02 -1.39921475e+06 8.74837438e+05
4 3 2 2.98621796e+02 4.02876801e+02 2.85095215e+02 5.87678438e+04 0.00000000e+00 1.82400000e+03 -6.71559062e+04 -7.33553203e+04
4 3 3 2.98621796e+02 4.02876801e+02 4.02876801e+02 -5.64949414e+04 0.00000000e+00 2.08800000e+03 4.19847734e+04 2.28029672e+05
4 4 1 2.98621796e+02 2.98621796e+02 1.49714310e+02 3.62237469e+05 0.00000000e+00 1.56000000e+03 -7.81613500e+05 7.52614688e+05
4 4 2 2.98621796e+02 2.98621796e+02 2.85095215e+02 8.39653688e+05 0.00000000e+00 2.97600000e+03 -1.44515225e+06 3.42220469e+05
4 4 3 2.98621796e+02 2.98621796e+02 4.02876801e+02 -1.32032168e+04 0.00000000e+00 3.31200000e+03 -7.86406016e+04 3.50121625e+05
4 4 4 2.98621796e+02 2.98621796e+02 2.98621796e+02 -7.42199375e+05 0.00000000e+00 5.68800000e+03 1.41716875e+06 -8.24456750e+05
5 2 2 2.49657516e+02 2.85095215e+02 2.85095215e+02 -1.21651950e+06 0.00000000e+00 1.68000000e+02 2.70023975e+06 -2.88956425e+06
5 3 1 2.49657516e+02 4.02876801e+02 1.49714310e+02 7.96564750e+05 0.00000000e+00 7.20000000e+01 -9.24816000e+05 -1.55102125e+06
5 3 2 2.49657516e+02 4.02876801e+02 2.85095215e+02 6.27081250e+04 0.00000000e+00 1.69400000e+03 -2.42733703e+05 5.30721062e+05
5 3 3 2.49657516e+02 4.02876801e+02 4.02876801e+02 5.22234500e+05 0.00000000e+00 2.64000000e+03 -8.29759625e+05 -6.25495664e+04
5 4 1 2.49657516e+02 2.98621796e+02 1.49714310e+02 1.38629234e+05 0.00000000e+00 1.35000000e+03 -2.82068188e+05 1.92181516e+05
5 4 2 2.49657516e+02 2.98621796e+02 2.85095215e+02 -3.19688354e+02 0.00000000e+00 4.00800000e+03 4.17044492e+04 -1.46780016e+05
5 4 3 2.49657516e+02 2.98621796e+02 4.02876801e+02 -3.54458125e+04 0.00000000e+00 4.53600000e+03 3.57019688e+04 6.50787188e+04
5 4 4 2.49657516e+02 2.98621796e+02 2.98621796e+02 1.44338643e+04 0.00000000e+00 7.29600000e+03 -2.04166234e+05 6.59179312e+05
5 5 1 2.49657516e+02 2.49657516e+02 1.49714310e+02 7.49975156e+04 0.00000000e+00 2.71200000e+03 -2.39254609e+05 4.73703344e+05
5 5 2 2.49657516e+02 2.49657516e+02 2.85095215e+02 -1.80469160e+04 0.00000000e+00 5.30400000e+03 3.05900059e+04 -2.13807602e+01
5 5 3 2.49657516e+02 2.49657516e+02 4.02876801e+02 1.25791883e+05 0.00000000e+00 5.92800000e+03 -4.05829594e+05 7.55448562e+05
5 5 4 2.49657516e+02 2.49657516e+02 2.98621796e+02 3.36494297e+04 0.00000000e+00 9.86400000e+03 -5.13301953e+04 6.88155713e+03
5 5 5 2.49657516e+02 2.49657516e+02 2.49657516e+02 2.14742203e+05 0.00000000e+00 1.29600000e+04 -4.65387750e+05 4.42770406e+05
6 3 2 2.07778030e+02 4.02876801e+02 2.85095215e+02 -9.83586438e+05 0.00000000e+00 4.80000000e+01 1.25730875e+06 1.17181175e+06
6 3 3 2.07778030e+02 4.02876801e+02 4.02876801e+02 9.56331953e+04 0.00000000e+00 1.81800000e+03 -3.45649719e+05 6.86730812e+05
6 4 1 2.07778030e+02 2.98621796e+02 1.49714310e+02 1.61893994e+04 0.00000000e+00 6.00000000e+01 -3.79112125e+05 1.22605762e+06
6 4 2 2.07778030e+02 2.98621796e+02 2.85095215e+02 2.08951422e+05 0.00000000e+00 2.67000000e+03 -4.03468281e+05 2.17861719e+05
6 4 3 2.07778030e+02 2.98621796e+02 4.02876801e+02 1.51742766e+05 0.00000000e+00 4.75200000e+03 -2.86031125e+05 1.46956469e+05
6 4 4 2.07778030e+02 2.98621796e+02 2.98621796e+02 9.68633984e+04 0.00000000e+00 7.89600000e+03 -2.11004234e+05 1.79698281e+05
6 5 1 2.07778030e+02 2.49657516e+02 1.49714310e+02 1.30435986e+04 0.00000000e+00 1.95000000e+03 3.44721973e+03 -1.05977055e+05
6 5 2 2.07778030e+02 2.49657516e+02 2.85095215e+02 3.38168438e+04 0.00000000e+00 5.64000000e+03 -1.52763172e+05 3.67428406e+05
6 5 3 2.07778030e+02 2.49657516e+02 4.02876801e+02 -5.20428516e+03 0.00000000e+00 6.33600000e+03 5.82442500e+04 -1.89420922e+05
6 5 4 2.07778030e+02 2.49657516e+02 2.98621796e+02 1.47908031e+05 0.00000000e+00 1.05840000e+04 -2.76789469e+05 1.46578219e+05
6 5 5 2.07778030e+02 2.49657516e+02 2.49657516e+02 1.12504234e+05 0.00000000e+00 1.37760000e+04 -1.49905281e+05 -1.17954406e+05
6 6 1 2.07778030e+02 2.07778030e+02 1.49714310e+02 -2.90056562e+05 0.00000000e+00 3.19200000e+03 5.63048500e+05 -3.48085938e+05
6 6 2 2.07778030e+02 2.07778030e+02 2.85095215e+02 4.51031781e+05 0.00000000e+00 6.04800000e+03 -9.27356188e+05 7.24334500e+05
6 6 3 2.07778030e+02 2.07778030e+02 4.02876801e+02 3.54624297e+04 0.00000000e+00 6.67200000e+03 6.64219629e+03 -2.47500234e+05
6 6 4 2.07778030e+02 2.07778030e+02 2.98621796e+02 2.92799531e+05 0.00000000e+00 1.11360000e+04 -6.49029312e+05 6.38693250e+05
6 6 5 2.07778030e+02 2.07778030e+02 2.49657516e+02 7.76184219e+04 0.00000000e+00 1.50240000e+04 -1.80341891e+05 2.00701344e+05
6 6 6 2.07778030e+02 2.07778030e+02 2.07778030e+02 -1.27734336e+05 0.00000000e+00 1.57920000e+04 2.84859812e+05 -2.88034906e+05
7 3 3 1.90599930e+02 4.02876801e+02 4.02876801e+02 6.32866375e+05 0.00000000e+00 8.00000000e+01 -7.40655562e+05 -1.01914062e+06
7 4 2 1.90599930e+02 2.98621796e+02 2.85095215e+02 2.54771875e+05 0.00000000e+00 1.68000000e+02 -4.59777844e+05 -3.08135664e+04
7 4 3 1.90599930e+02 2.98621796e+02 4.02876801e+02 4.72057156e+05 0.00000000e+00 3.18600000e+03 -9.72524938e+05 8.24702438e+05
7 4 4 1.90599930e+02 2.98621796e+02 2.98621796e+02 2.72899906e+05 0.00000000e+00 9.14400000e+03 -6.16780062e+05 6.64613750e+05
7 5 1 1.90599930e+02 2.49657516e+02 1.49714310e+02 2.55037000e+05 0.00000000e+00 2.16000000e+02 -3.03808188e+05 -3.76091281e+05
7 5 2 1.90599930e+02 2.49657516e+02 2.85095215e+02 -1.30376143e+04 0.00000000e+00 4.43000000e+03 1.20420195e+05 -4.02079969e+05
7 5 3 1.90599930e+02 2.49657516e+02 4.02876801e+02 1.89473859e+05 0.00000000e+00 7.36800000e+03 -4.32195688e+05 4.87731094e+05
7 5 4 1.90599930e+02 2.49657516e+02 2.98621796e+02 1.79267766e+05 0.00000000e+00 1.20480000e+04 -3.93998344e+05 3.83653375e+05
7 5 5 1.90599930e+02 2.49657516e+02 2.49657516e+02 -2.30895332e+04 0.00000000e+00 1.61520000e+04 3.07567871e+03 1.14936633e+05
7 6 1 1.90599930e+02 2.07778030e+02 1.49714310e+02 6.32688828e+04 0.00000000e+00 2.63400000e+03 -1.09543172e+05 3.89625312e+04
7 6 2 1.90599930e+02 2.07778030e+02 2.85095215e+02 1.46179625e+05 0.00000000e+00 7.03200000e+03 -2.87427125e+05 1.79752531e+05
7 6 3 1.90599930e+02 2.07778030e+02 4.02876801e+02 7.61423125e+04 0.00000000e+00 7.96800000e+03 -1.62290203e+05 1.61229484e+05
7 6 4 1.90599930e+02 2.07778030e+02 2.98621796e+02 8.74615781e+04 0.00000000e+00 1.29120000e+04 -1.66846312e+05 9.63290000e+04
7 6 5 1.90599930e+02 2.07778030e+02 2.49657516e+02 3.74107773e+04 0.00000000e+00 1.72320000e+04 -1.05553570e+05 1.64475250e+05
