# k     avgk     P0      P2      P4     Nmodes    PSN
# 
6.28318544e-03 8.01824499e-03 1.61024078e+02 -3.29615784e+02 2.47866699e+02 9 1.13094387e+01
1.25663709e-02 1.40165584e-02 2.96405243e+02 -6.06492615e+02 4.75916138e+02 31 1.13094387e+01
1.88495554e-02 1.96925160e-02 4.14187073e+02 -8.32595886e+02 6.11189819e+02 49 1.13094387e+01
2.51327418e-02 2.55133938e-02 3.09931885e+02 -6.14019409e+02 4.24582428e+02 105 1.13094387e+01
3.14159282e-02 3.20290811e-02 2.60967499e+02 -5.28825623e+02 3.97999451e+02 175 1.13094387e+01
3.76991108e-02 3.84652354e-02 2.19087921e+02 -4.33213806e+02 2.94106140e+02 225 1.13094387e+01
4.39822972e-02 4.44331057e-02 2.01909790e+02 -4.10986877e+02 3.17313080e+02 301 1.13094387e+01
5.02654836e-02 5.04230894e-02 1.73131042e+02 -3.49631378e+02 2.59951630e+02 381 1.13094387e+01
5.65486662e-02 5.69092967e-02 1.62957626e+02 -3.34277985e+02 2.66301270e+02 571 1.13094387e+01
6.28318563e-02 6.34184629e-02 1.54857285e+02 -3.14280914e+02 2.40370178e+02 625 1.13094387e+01
6.91150352e-02 6.94999248e-02 1.33635315e+02 -2.73041962e+02 2.13836411e+02 729 1.13094387e+01
7.53982216e-02 7.55813345e-02 1.42526840e+02 -2.91871857e+02 2.29550735e+02 907 1.13094387e+01
8.16814080e-02 8.19627345e-02 1.17734749e+02 -2.38128296e+02 1.78603043e+02 1089 1.13094387e+01
8.79645944e-02 8.83023217e-02 1.06831802e+02 -2.14029602e+02 1.55146790e+02 1249 1.13094387e+01
9.42477807e-02 9.43521708e-02 9.71059875e+01 -1.94353821e+02 1.40491043e+02 1311 1.13094387e+01
1.00530967e-01 1.00560062e-01 8.86066666e+01 -1.78590927e+02 1.32648712e+02 1669 1.13094387e+01
1.06814153e-01 1.07013889e-01 8.16964951e+01 -1.62809982e+02 1.15817375e+02 1861 1.13094387e+01
1.13097332e-01 1.13427348e-01 7.55730743e+01 -1.50672470e+02 1.06967300e+02 2085 1.13094387e+01
1.19380519e-01 1.19608954e-01 7.02902069e+01 -1.40365112e+02 1.00669113e+02 2179 1.13094387e+01
1.25663713e-01 1.25780433e-01 6.98249512e+01 -1.40342911e+02 1.02972580e+02 2517 1.13094387e+01
1.31946892e-01 1.32149026e-01 6.53045502e+01 -1.31364853e+02 9.63973541e+01 2857 1.13094387e+01
1.38230070e-01 1.38456330e-01 6.27229233e+01 -1.26571213e+02 9.44723740e+01 2991 1.13094387e+01
1.44513264e-01 1.44649729e-01 5.89075508e+01 -1.19130829e+02 8.94050140e+01 3301 1.13094387e+01
1.50796443e-01 1.50853515e-01 5.71357498e+01 -1.15156685e+02 8.56770020e+01 3565 1.13094387e+01
1.57079637e-01 1.57172903e-01 5.46223259e+01 -1.09248405e+02 7.85889053e+01 4017 1.13094387e+01
1.63362816e-01 1.63541779e-01 4.97165146e+01 -1.00075066e+02 7.38270187e+01 4303 1.13094387e+01
1.69646010e-01 1.69825613e-01 4.99250259e+01 -1.00383171e+02 7.37687073e+01 4533 1.13094387e+01
1.75929189e-01 1.76101357e-01 4.60869713e+01 -9.25694885e+01 6.77444458e+01 4981 1.13094387e+01
1.82212368e-01 1.82399854e-01 4.56326981e+01 -9.15214081e+01 6.66002121e+01 5275 1.13094387e+01
1.88495561e-01 1.88650697e-01 4.42587395e+01 -8.87548904e+01 6.46056976e+01 5613 1.13094387e+01
1.94778740e-01 1.94908157e-01 4.28325577e+01 -8.61457748e+01 6.35708923e+01 6073 1.13094387e+01
2.01061934e-01 2.01119140e-01 4.09647560e+01 -8.22891846e+01 6.02866287e+01 6208 1.13094387e+01
